task,shot,dataset,combo,Final Accuracy,Final F1,Final AUROC
Node,5shot,Cora,GraphMAE+EdgePrompt,0.5311±0.0446,0.3752±0.0302,0.8837±0.0088
Node,5shot,Cora,GraphMAE+EdgePromptplus,0.5291±0.0474,0.3736±0.0292,0.8840±0.0089
Node,5shot,Cora,GraphMAE+GPF,0.2363±0.1103,0.0922±0.0675,0.8273±0.0366
Node,5shot,Cora,GraphMAE+GPF-plus,0.5776±0.0781,0.5187±0.0728,0.8850±0.0346
Node,5shot,Cora,GraphMAE+GPPT,0.4352±0.1433,0.3428±0.0978,0.8163±0.0146
Node,5shot,Cora,GraphMAE+Gprompt,0.6480±0.0538,0.5873±0.0613,0.8676±0.0162
Node,5shot,Cora,GraphMAE+GraphPrompter,0.5248±0.0537,0.3699±0.0274,0.8840±0.0090
Node,5shot,Cora,GraphMAE+PSP,0.1491±0.0848,0.0393±0.0179,0.4749±0.0646
Node,5shot,Cora,GraphMAE+ProNoG,0.5765±0.0175,0.5103±0.0122,0.8415±0.0152
Node,5shot,Cora,GraphMAE+Prodigy,0.2171±0.0873,0.0881±0.0483,0.8309±0.0267
Node,5shot,Cora,GraphMAE+RELIEF,0.1367±0.0169,0.0000±0.0000,0.0000±0.0000
Node,5shot,Cora,GraphMAE+SelfPro,0.5044±0.0391,0.4021±0.0713,0.8228±0.0189
Node,5shot,Cora,GraphMAE+UniPrompt,0.5226±0.0684,0.4003±0.0397,0.8833±0.0182
Node,5shot,Cora,MultiGprompt+MultiGprompt,0.7076±0.0171,0.6869±0.0092,0.9291±0.0073
Node,5shot,Cora,None+All-in-one,0.1209±0.0250,0.0307±0.0058,0.6338±0.0168
Node,5shot,Cora,None+EdgePrompt,0.3218±0.0483,0.2658±0.0467,0.7656±0.0124
Node,5shot,Cora,None+EdgePromptplus,0.3249±0.0519,0.2437±0.0373,0.7684±0.0106
Node,5shot,Cora,None+GPF,0.1082±0.0389,0.0329±0.0133,0.7342±0.0398
Node,5shot,Cora,None+GPF-plus,0.6121±0.0525,0.5761±0.0443,0.9009±0.0106
Node,5shot,Cora,None+GPPT,0.2483±0.0685,0.1863±0.0458,0.7582±0.0635
Node,5shot,Cora,None+Gprompt,0.6330±0.0337,0.6131±0.0243,0.8854±0.0147
Node,5shot,Cora,None+GraphPrompter,0.3360±0.0503,0.2385±0.0338,0.7811±0.0104
Node,5shot,Cora,None+None,0.5318±0.0560,0.5492±0.0333,0.8929±0.0179
Node,5shot,Cora,None+PSP,0.1503±0.0806,0.0405±0.0150,0.4654±0.0525
Node,5shot,Cora,None+ProNoG,0.5061±0.0487,0.5024±0.0488,0.8291±0.0175
Node,5shot,Cora,None+Prodigy,0.1587±0.0506,0.0765±0.0378,0.7892±0.0133
Node,5shot,Cora,None+RELIEF,0.1271±0.0088,0.0000±0.0000,0.0000±0.0000
Node,5shot,Cora,None+SelfPro,0.2551±0.0186,0.2245±0.0175,0.6465±0.0120
Node,5shot,Cora,None+UniPrompt,0.3021±0.0449,0.2098±0.0293,0.7189±0.0320
Node,5shot,Wisconsin,DGI+All-in-one,0.5897±0.0413,0.3485±0.0666,0.7264±0.0430
Node,5shot,Wisconsin,DGI+EdgePrompt,0.3131±0.0813,0.2532±0.0574,0.5919±0.0584
Node,5shot,Wisconsin,DGI+EdgePromptplus,0.3303±0.0564,0.2612±0.0356,0.5941±0.0488
Node,5shot,Wisconsin,DGI+GPF,0.7284±0.1194,0.6278±0.0736,0.8478±0.0577
Node,5shot,Wisconsin,DGI+GPF-plus,0.8888±0.0734,0.7465±0.0925,0.9621±0.0324
Node,5shot,Wisconsin,DGI+GPPT,0.2160±0.1665,0.1174±0.0780,0.5487±0.0460
Node,5shot,Wisconsin,DGI+Gprompt,0.6434±0.1644,0.5963±0.1011,0.8507±0.0268
Node,5shot,Wisconsin,DGI+GraphPrompter,0.3520±0.0603,0.2661±0.0411,0.5949±0.0408
Node,5shot,Wisconsin,DGI+PSP,0.2423±0.0605,0.1280±0.0343,0.4999±0.0628
Node,5shot,Wisconsin,DGI+ProNoG,0.3794±0.0464,0.3358±0.0569,0.7000±0.0275
Node,5shot,Wisconsin,DGI+Prodigy,0.3451±0.0712,0.2413±0.0225,0.5918±0.0429
Node,5shot,Wisconsin,DGI+RELIEF,0.1280±0.0869,0.0000±0.0000,0.0000±0.0000
Node,5shot,Wisconsin,DGI+SelfPro,0.6023±0.0334,0.5155±0.0298,0.8461±0.0075
Node,5shot,Wisconsin,DGI+UniPrompt,0.3611±0.0724,0.2764±0.0290,0.6192±0.0303
Node,5shot,Wisconsin,Edgepred_Gprompt+All-in-one,0.5760±0.1244,0.3129±0.0946,0.7984±0.0627
Node,5shot,Wisconsin,Edgepred_Gprompt+EdgePrompt,0.3463±0.0853,0.2879±0.0399,0.6061±0.0381
Node,5shot,Wisconsin,Edgepred_Gprompt+EdgePromptplus,0.3611±0.0655,0.2983±0.0244,0.6060±0.0284
Node,5shot,Wisconsin,Edgepred_Gprompt+GPF,0.9038±0.0672,0.7285±0.0514,0.9621±0.0265
Node,5shot,Wisconsin,Edgepred_Gprompt+GPF-plus,0.9439±0.0313,0.7900±0.1156,0.9948±0.0039
Node,5shot,Wisconsin,Edgepred_Gprompt+GPPT,0.3360±0.0501,0.2937±0.0422,0.6111±0.0412
Node,5shot,Wisconsin,Edgepred_Gprompt+Gprompt,0.9438±0.0366,0.8585±0.0610,0.9859±0.0158
Node,5shot,Wisconsin,Edgepred_Gprompt+GraphPrompter,0.3691±0.0820,0.3007±0.0443,0.6041±0.0403
Node,5shot,Wisconsin,Edgepred_Gprompt+PSP,0.1909±0.0502,0.1380±0.0190,0.5019±0.0149
Node,5shot,Wisconsin,Edgepred_Gprompt+ProNoG,0.3783±0.0739,0.3315±0.0546,0.7017±0.0399
Node,5shot,Wisconsin,Edgepred_Gprompt+Prodigy,0.3200±0.0443,0.2682±0.0195,0.5963±0.0416
Node,5shot,Wisconsin,Edgepred_Gprompt+RELIEF,0.1737±0.0581,0.0000±0.0000,0.0000±0.0000
Node,5shot,Wisconsin,Edgepred_Gprompt+SelfPro,0.5120±0.0355,0.4422±0.0455,0.8038±0.0105
Node,5shot,Wisconsin,Edgepred_Gprompt+UniPrompt,0.3726±0.0752,0.3089±0.0391,0.6193±0.0388
Node,5shot,Wisconsin,GraphCL+All-in-one,0.7186±0.0340,0.5161±0.0433,0.8249±0.0291
Node,5shot,Wisconsin,GraphCL+EdgePrompt,0.2869±0.0738,0.2165±0.0416,0.5958±0.0285
Node,5shot,Wisconsin,GraphCL+EdgePromptplus,0.2949±0.0829,0.2100±0.0772,0.5919±0.0886
Node,5shot,Wisconsin,GraphCL+GPF,0.6975±0.2095,0.4718±0.1602,0.7606±0.1155
Node,5shot,Wisconsin,GraphCL+GPF-plus,0.7219±0.1577,0.4910±0.1192,0.8056±0.1342
Node,5shot,Wisconsin,GraphCL+GPPT,0.2857±0.0394,0.1944±0.0333,0.5556±0.0435
Node,5shot,Wisconsin,GraphCL+Gprompt,0.9361±0.0154,0.8157±0.0469,0.9724±0.0164
Node,5shot,Wisconsin,GraphCL+GraphPrompter,0.3086±0.1044,0.2497±0.0834,0.6075±0.0523
Node,5shot,Wisconsin,GraphCL+PSP,0.2446±0.0979,0.1494±0.0420,0.5364±0.0335
Node,5shot,Wisconsin,GraphCL+ProNoG,0.4411±0.0922,0.3692±0.0766,0.6850±0.0680
Node,5shot,Wisconsin,GraphCL+Prodigy,0.3314±0.0990,0.1667±0.0508,0.5156±0.0721
Node,5shot,Wisconsin,GraphCL+RELIEF,0.1463±0.0902,0.0000±0.0000,0.0000±0.0000
Node,5shot,Wisconsin,GraphCL+SelfPro,0.5154±0.0838,0.3622±0.0181,0.7644±0.0315
Node,5shot,Wisconsin,GraphCL+UniPrompt,0.3611±0.0638,0.2519±0.0276,0.6220±0.0366
Node,5shot,Wisconsin,GraphMAE+RELIEF,0.2149±0.1340,0.0000±0.0000,0.0000±0.0000
Node,5shot,Wisconsin,MultiGprompt+MultiGprompt,0.3211±0.0972,0.2728±0.0561,0.6948±0.0227
Node,5shot,Wisconsin,None+All-in-one,0.5475±0.1290,0.3102±0.0800,0.7456±0.0197
Node,5shot,Wisconsin,None+EdgePrompt,0.3726±0.0612,0.3203±0.0408,0.6651±0.0466
Node,5shot,Wisconsin,None+EdgePromptplus,0.3829±0.0732,0.3262±0.0587,0.6470±0.0601
Node,5shot,Wisconsin,None+GPF,0.8771±0.0678,0.7190±0.0470,0.9257±0.0511
Node,5shot,Wisconsin,None+GPF-plus,0.9175±0.0715,0.7668±0.0944,0.9753±0.0236
Node,5shot,Wisconsin,None+GPPT,0.3463±0.0546,0.2684±0.0482,0.6142±0.0692
Node,5shot,Wisconsin,None+Gprompt,0.9300±0.0530,0.8788±0.0517,0.9819±0.0135
Node,5shot,Wisconsin,None+GraphPrompter,0.3543±0.0689,0.3175±0.0380,0.6596±0.0285
Node,5shot,Wisconsin,None+None,0.3486±0.0457,0.3064±0.0267,0.6425±0.0284
Node,5shot,Wisconsin,None+PSP,0.2103±0.1540,0.1026±0.0466,0.5228±0.0711
Node,5shot,Wisconsin,None+ProNoG,0.4446±0.0696,0.3869±0.0577,0.7176±0.0470
Node,5shot,Wisconsin,None+Prodigy,0.3771±0.1184,0.2807±0.0749,0.6341±0.0466
Node,5shot,Wisconsin,None+RELIEF,0.1760±0.1197,0.0000±0.0000,0.0000±0.0000
Node,5shot,Wisconsin,None+SelfPro,0.5200±0.0575,0.4405±0.0336,0.8293±0.0182
Node,5shot,Wisconsin,None+UniPrompt,0.3771±0.0471,0.3306±0.0280,0.6827±0.0213
